policy,mean,std,count,sigma,impurity,num_dim,stdb
plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.1,-0.68,2,0.2
default,0.8918399999999964,0.0011050047219063946,1000,0.1,-0.68,2,0.2
augment,0.9227999999999972,0.0012106302596687536,1000,0.1,-0.68,2,0.2
average,0.9043199999999951,0.0011107526148388589,1000,0.1,-0.68,2,0.2
ensemble,0.891279999999996,0.0010712185160410192,1000,0.1,-0.68,2,0.2
plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.3,-0.68,2,0.2
default,0.8429200000000021,0.0010184846149603416,1000,0.3,-0.68,2,0.2
augment,0.8468800000000013,0.0009903769214023813,1000,0.3,-0.68,2,0.2
average,0.8419199999999976,0.001585568550277035,1000,0.3,-0.68,2,0.2
ensemble,0.8449600000000022,0.000857048967640087,1000,0.3,-0.68,2,0.2
plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.5,-0.68,2,0.2
default,0.8330800000000023,0.001067170301522891,1000,0.5,-0.68,2,0.2
augment,0.8403600000000044,0.0005529703212435367,1000,0.5,-0.68,2,0.2
average,0.8108399999999973,0.0018640732735515522,1000,0.5,-0.68,2,0.2
ensemble,0.838960000000004,0.000611303600588199,1000,0.5,-0.68,2,0.2
plurality,0.8400000000000056,1.7914210035155348e-16,1000,1.0,-0.68,2,0.2
default,0.8278800000000027,0.0011496204709499792,1000,1.0,-0.68,2,0.2
augment,0.8388800000000051,0.00036943481438824887,1000,1.0,-0.68,2,0.2
average,0.7903599999999978,0.002341399699443162,1000,1.0,-0.68,2,0.2
ensemble,0.8359600000000043,0.0007234651351667253,1000,1.0,-0.68,2,0.2
plurality,0.7999999999999887,3.5828420070310695e-16,1000,0.0,-0.6,2,0.2
default,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.6,2,0.2
augment,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.6,2,0.2
average,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.6,2,0.2
ensemble,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.6,2,0.2
plurality,0.7999999999999887,3.5828420070310695e-16,1000,0.025,-0.6,2,0.2
default,0.8404800000000054,0.0001377990877639939,1000,0.025,-0.6,2,0.2
augment,0.9205999999999928,0.0008477964135090263,1000,0.025,-0.6,2,0.2
average,0.8403600000000055,0.0001195185537257077,1000,0.025,-0.6,2,0.2
ensemble,0.8403200000000056,0.00011274001202018035,1000,0.025,-0.6,2,0.2
plurality,0.7999999999999887,3.5828420070310695e-16,1000,0.05,-0.6,2,0.2
default,0.8660399999999996,0.0011398322760904865,1000,0.05,-0.6,2,0.2
augment,0.9505200000000001,0.001167344119054999,1000,0.05,-0.6,2,0.2
average,0.8709999999999991,0.0010904077168605295,1000,0.05,-0.6,2,0.2
ensemble,0.8646000000000001,0.0010759170960615856,1000,0.05,-0.6,2,0.2
plurality,0.7999999999999887,3.5828420070310695e-16,1000,0.08,-0.6,2,0.2
default,0.8410000000000041,0.00045343754322464875,1000,0.08,-0.6,2,0.2
augment,0.856960000000001,0.0009472357972836876,1000,0.08,-0.6,2,0.2
average,0.8434800000000044,0.00045880289896654304,1000,0.08,-0.6,2,0.2
ensemble,0.8408800000000046,0.0003951984081215223,1000,0.08,-0.6,2,0.2
plurality,0.7999999999999887,3.5828420070310695e-16,1000,0.1,-0.6,2,0.2
default,0.8759999999999964,0.0013571447387223828,1000,0.1,-0.6,2,0.2
augment,0.8970799999999964,0.001472970890154742,1000,0.1,-0.6,2,0.2
average,0.8873199999999972,0.0013802618312199672,1000,0.1,-0.6,2,0.2
ensemble,0.878679999999997,0.001293031140201016,1000,0.1,-0.6,2,0.2
plurality,0.7999999999999887,3.5828420070310695e-16,1000,0.3,-0.6,2,0.2
default,0.8074799999999949,0.001276902533508368,1000,0.3,-0.6,2,0.2
augment,0.8107999999999955,0.0012675040696449665,1000,0.3,-0.6,2,0.2
average,0.8041599999999973,0.001947122411582198,1000,0.3,-0.6,2,0.2
ensemble,0.8099999999999951,0.0011512277469403406,1000,0.3,-0.6,2,0.2
plurality,0.7999999999999887,3.5828420070310695e-16,1000,0.5,-0.6,2,0.2
default,0.7889999999999929,0.001170457162808614,1000,0.5,-0.6,2,0.2
augment,0.7973599999999904,0.00066443349695201,1000,0.5,-0.6,2,0.2
average,0.7703999999999956,0.001969700413697403,1000,0.5,-0.6,2,0.2
ensemble,0.7966799999999908,0.0007884156259227744,1000,0.5,-0.6,2,0.2
