policy,mean,std,count,sigma,impurity,num_dim,stdb
average,0.7599599999999989,0.0021142536433617566,1000,0.3,-0.52,2,0.2
ensemble,0.7644799999999968,0.0015382769243201624,1000,0.3,-0.52,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.5,-0.52,2,0.2
default,0.7556799999999972,0.00165894234067664,1000,0.5,-0.52,2,0.2
augment,0.7643199999999968,0.0013772561252121712,1000,0.5,-0.52,2,0.2
average,0.7408799999999983,0.0022960177040470086,1000,0.5,-0.52,2,0.2
ensemble,0.7626799999999968,0.0014332032904203404,1000,0.5,-0.52,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,1.0,-0.52,2,0.2
default,0.7434799999999963,0.0013992310200418808,1000,1.0,-0.52,2,0.2
augment,0.7573999999999946,0.0005837643195509499,1000,1.0,-0.52,2,0.2
average,0.7099599999999984,0.0023451861969358222,1000,1.0,-0.52,2,0.2
ensemble,0.7552799999999953,0.000856536779861345,1000,1.0,-0.52,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.0,0.0,5,0.2
default,1.0,0.0,1000,0.0,0.0,5,0.2
augment,1.0,0.0,1000,0.0,0.0,5,0.2
average,1.0,0.0,1000,0.0,0.0,5,0.2
ensemble,1.0,0.0,1000,0.0,0.0,5,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.025,0.0,5,0.2
default,0.9276399999999925,0.000810856268328661,1000,0.025,0.0,5,0.2
augment,0.9393199999999948,0.0008486800680220181,1000,0.025,0.0,5,0.2
average,0.9274799999999924,0.0007760488720769118,1000,0.025,0.0,5,0.2
ensemble,0.9275999999999924,0.0007779750929465877,1000,0.025,0.0,5,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.05,0.0,5,0.2
default,0.8469599999999968,0.0014972642386032644,1000,0.05,0.0,5,0.2
augment,0.8728399999999958,0.0014120652705623491,1000,0.05,0.0,5,0.2
average,0.852759999999997,0.0014190123311641754,1000,0.05,0.0,5,0.2
ensemble,0.8493199999999969,0.0014587891093868403,1000,0.05,0.0,5,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.08,0.0,5,0.2
default,0.8384399999999969,0.0019240760038180603,1000,0.08,0.0,5,0.2
augment,0.8556799999999947,0.00190098694139422,1000,0.08,0.0,5,0.2
average,0.8505199999999965,0.001888092819353568,1000,0.08,0.0,5,0.2
ensemble,0.8463999999999966,0.0019085813272382943,1000,0.08,0.0,5,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.1,0.0,5,0.2
default,0.915799999999998,0.0015877282137950614,1000,0.1,0.0,5,0.2
augment,0.922319999999997,0.001532633865790049,1000,0.1,0.0,5,0.2
average,0.9224799999999979,0.0015448741813611255,1000,0.1,0.0,5,0.2
ensemble,0.921479999999998,0.0015528750822332831,1000,0.1,0.0,5,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.3,0.0,5,0.2
default,0.6847199999999986,0.002854657715150913,1000,0.3,0.0,5,0.2
augment,0.7133599999999979,0.002725020391875306,1000,0.3,0.0,5,0.2
average,0.7162799999999988,0.002740231827869779,1000,0.3,0.0,5,0.2
ensemble,0.7091999999999978,0.0027480377929918805,1000,0.3,0.0,5,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.5,0.0,5,0.2
default,0.5748399999999998,0.003332818939288795,1000,0.5,0.0,5,0.2
augment,0.603040000000001,0.0031144274045252795,1000,0.5,0.0,5,0.2
average,0.5972400000000005,0.003074578903758279,1000,0.5,0.0,5,0.2
ensemble,0.5921600000000002,0.003140891529422753,1000,0.5,0.0,5,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,1.0,0.0,5,0.2
default,0.5178400000000006,0.0032238063414739,1000,1.0,0.0,5,0.2
augment,0.53744,0.0031955685031083343,1000,1.0,0.0,5,0.2
average,0.5350800000000008,0.003237634302368912,1000,1.0,0.0,5,0.2
ensemble,0.53088,0.0031527075927153714,1000,1.0,0.0,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,5,0.2
default,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.84,5,0.2
augment,1.0,0.0,1000,0.0,-0.84,5,0.2
average,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.84,5,0.2
ensemble,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.84,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,5,0.2
default,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,5,0.2
augment,0.9207999999999851,0.00017717615920713142,1000,0.025,-0.84,5,0.2
average,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,5,0.2
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.05,-0.84,5,0.2
