policy,mean,std,count,sigma,impurity,num_dim
augment,0.8394000000000057,0.00022911240143757273,1000,1.5,-0.68,2
average,0.7955599999999997,0.002234206364255125,1000,1.5,-0.68,2
ensemble,0.8376800000000044,0.00042848710739204184,1000,1.5,-0.68,2
plurality,0.8400000000000056,1.7914210035155348e-16,1000,2.0,-0.68,2
default,0.8282800000000045,0.001170303896947804,1000,2.0,-0.68,2
augment,0.8392400000000056,0.00029582073948577364,1000,2.0,-0.68,2
average,0.7946000000000014,0.0023495447134201175,1000,2.0,-0.68,2
ensemble,0.8373600000000052,0.0004450038521500956,1000,2.0,-0.68,2
plurality,0.7999999999999887,3.5828420070310695e-16,1000,0.0,-0.6,2
default,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.6,2
augment,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.6,2
average,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.6,2
ensemble,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.6,2
plurality,0.7999999999999887,3.5828420070310695e-16,1000,0.2,-0.6,2
default,0.827359999999996,0.0013990667560155289,1000,0.2,-0.6,2
augment,0.8359599999999971,0.0015201280173686637,1000,0.2,-0.6,2
average,0.8367999999999973,0.0015824867343090898,1000,0.2,-0.6,2
ensemble,0.8299199999999967,0.0013069436490154127,1000,0.2,-0.6,2
plurality,0.7999999999999887,3.5828420070310695e-16,1000,0.5,-0.6,2
default,0.7913599999999933,0.0012054889479392278,1000,0.5,-0.6,2
augment,0.7984799999999905,0.0006435088994751418,1000,0.5,-0.6,2
average,0.7629599999999968,0.0021590506941477606,1000,0.5,-0.6,2
ensemble,0.7973199999999908,0.0007513868392394027,1000,0.5,-0.6,2
plurality,0.7999999999999887,3.5828420070310695e-16,1000,1.0,-0.6,2
default,0.7842399999999919,0.001385619840483788,1000,1.0,-0.6,2
augment,0.7985599999999891,0.0003975983959782596,1000,1.0,-0.6,2
average,0.7512799999999948,0.0022851659860026827,1000,1.0,-0.6,2
ensemble,0.7963199999999898,0.0006296459751749782,1000,1.0,-0.6,2
plurality,0.7999999999999887,3.5828420070310695e-16,1000,1.5,-0.6,2
default,0.7842799999999907,0.0013360638707287454,1000,1.5,-0.6,2
augment,0.7983999999999893,0.00035435231841427005,1000,1.5,-0.6,2
average,0.7474799999999958,0.0023720194088742495,1000,1.5,-0.6,2
ensemble,0.7954399999999897,0.0006415746394754184,1000,1.5,-0.6,2
plurality,0.7999999999999887,3.5828420070310695e-16,1000,2.0,-0.6,2
default,0.7818799999999919,0.0014159344866449305,1000,2.0,-0.6,2
augment,0.7993199999999892,0.0003013775513013981,1000,2.0,-0.6,2
average,0.7469199999999957,0.002373045499973605,1000,2.0,-0.6,2
ensemble,0.7960399999999899,0.0005676624354672742,1000,2.0,-0.6,2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.0,-0.52,2
default,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.52,2
augment,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.52,2
average,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.52,2
ensemble,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.52,2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.2,-0.52,2
default,0.8103199999999954,0.0015874563356570322,1000,0.2,-0.52,2
augment,0.8174399999999968,0.0017932825383252565,1000,0.2,-0.52,2
average,0.8196399999999971,0.0019267544687330575,1000,0.2,-0.52,2
ensemble,0.8109599999999966,0.0015811319927122982,1000,0.2,-0.52,2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.5,-0.52,2
default,0.7478799999999962,0.0014212408400849962,1000,0.5,-0.52,2
augment,0.7563999999999956,0.001018664654180996,1000,0.5,-0.52,2
average,0.7291599999999977,0.002091235918701584,1000,0.5,-0.52,2
ensemble,0.754839999999996,0.0011820201231669397,1000,0.5,-0.52,2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,1.0,-0.52,2
default,0.7405999999999957,0.0015866182141137063,1000,1.0,-0.52,2
augment,0.7573199999999946,0.0007471116220323307,1000,1.0,-0.52,2
average,0.7061199999999984,0.00250391996981038,1000,1.0,-0.52,2
ensemble,0.7536799999999958,0.0009957153453919688,1000,1.0,-0.52,2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,1.5,-0.52,2
default,0.7383199999999953,0.0016247514940499054,1000,1.5,-0.52,2
augment,0.7574399999999938,0.0005185704535695384,1000,1.5,-0.52,2
average,0.7011199999999976,0.002447189067958248,1000,1.5,-0.52,2
ensemble,0.7537199999999951,0.0007845872654951633,1000,1.5,-0.52,2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,2.0,-0.52,2
default,0.7360799999999971,0.0015839009888065417,1000,2.0,-0.52,2
augment,0.7579599999999933,0.0004972782779145733,1000,2.0,-0.52,2
average,0.6985999999999977,0.0025802126845470533,1000,2.0,-0.52,2
ensemble,0.7523599999999951,0.0008265068139546717,1000,2.0,-0.52,2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.0,0.0,5
default,1.0,0.0,1000,0.0,0.0,5
augment,1.0,0.0,1000,0.0,0.0,5
average,1.0,0.0,1000,0.0,0.0,5
ensemble,1.0,0.0,1000,0.0,0.0,5
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.2,0.0,5
default,0.732319999999998,0.0025821861445847146,1000,0.2,0.0,5
augment,0.7529199999999979,0.0024972203967030342,1000,0.2,0.0,5
average,0.7524399999999984,0.0025327576396610234,1000,0.2,0.0,5
ensemble,0.751119999999998,0.0025116237484650895,1000,0.2,0.0,5
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.5,0.0,5
default,0.5895999999999997,0.003121150682293566,1000,0.5,0.0,5
augment,0.61536,0.0029004280516645997,1000,0.5,0.0,5
average,0.6147599999999995,0.002919223229604795,1000,0.5,0.0,5
ensemble,0.6068399999999999,0.0030472446734878603,1000,0.5,0.0,5
plurality,0.5199999999999929,2.2480577299018473e-16,1000,1.0,0.0,5
default,0.5150399999999999,0.0031645240736345517,1000,1.0,0.0,5
augment,0.5331199999999999,0.003141613492353145,1000,1.0,0.0,5
average,0.534120000000001,0.0031786049029612277,1000,1.0,0.0,5
ensemble,0.5274400000000005,0.0031398256169578756,1000,1.0,0.0,5
plurality,0.5199999999999929,2.2480577299018473e-16,1000,1.5,0.0,5
default,0.5179600000000002,0.0031770949517337917,1000,1.5,0.0,5
augment,0.5242800000000003,0.003183428311712982,1000,1.5,0.0,5
average,0.5207200000000002,0.0031879844486516675,1000,1.5,0.0,5
ensemble,0.5219200000000007,0.0030957223869554507,1000,1.5,0.0,5
plurality,0.5199999999999929,2.2480577299018473e-16,1000,2.0,0.0,5
default,0.5077599999999997,0.0032285919850929207,1000,2.0,0.0,5
augment,0.51456,0.0031265606953618866,1000,2.0,0.0,5
average,0.5108800000000001,0.0032359383332963743,1000,2.0,0.0,5
ensemble,0.5091999999999998,0.003048122545281116,1000,2.0,0.0,5
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,5
default,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,5
augment,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.84,5
average,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,5
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,5
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.2,-0.84,5
default,0.9279199999999906,0.0005837931263850312,1000,0.2,-0.84,5
augment,0.934079999999995,0.0007466666666666687,1000,0.2,-0.84,5
average,0.9339999999999945,0.0006994921652808512,1000,0.2,-0.84,5
ensemble,0.9268399999999898,0.0005214271629732034,1000,0.2,-0.84,5
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.5,-0.84,5
default,0.9031199999999907,0.001189824054758211,1000,0.5,-0.84,5
augment,0.916079999999987,0.0006127062991425922,1000,0.5,-0.84,5
average,0.8856399999999933,0.0016251866451677496,1000,0.5,-0.84,5
ensemble,0.9171199999999872,0.0006388377835677126,1000,0.5,-0.84,5
plurality,0.9199999999999847,4.847374480100859e-16,1000,1.0,-0.84,5
default,0.8801599999999927,0.0018736822262820079,1000,1.0,-0.84,5
augment,0.9181199999999852,0.00036851241688904237,1000,1.0,-0.84,5
average,0.8344399999999949,0.0025817342527362608,1000,1.0,-0.84,5
ensemble,0.9101199999999873,0.000816242520242515,1000,1.0,-0.84,5
plurality,0.9199999999999847,4.847374480100859e-16,1000,1.5,-0.84,5
default,0.8679599999999931,0.002208147258294686,1000,1.5,-0.84,5
augment,0.9175999999999856,0.0004128079582692302,1000,1.5,-0.84,5
average,0.808399999999996,0.0030097339580930603,1000,1.5,-0.84,5
ensemble,0.9064399999999888,0.0010109146098204065,1000,1.5,-0.84,5
plurality,0.9199999999999847,4.847374480100859e-16,1000,2.0,-0.84,5
default,0.8670799999999923,0.0022718791858360367,1000,2.0,-0.84,5
augment,0.918159999999985,0.00041567678211223676,1000,2.0,-0.84,5
average,0.8019599999999959,0.0032197088261091142,1000,2.0,-0.84,5
ensemble,0.9045999999999893,0.0010639417145558124,1000,2.0,-0.84,5
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,5
default,1.0,0.0,1000,0.0,-0.76,5
augment,1.0,0.0,1000,0.0,-0.76,5
average,1.0,0.0,1000,0.0,-0.76,5
ensemble,1.0,0.0,1000,0.0,-0.76,5
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.2,-0.76,5
default,0.8859599999999952,0.0007300763051978956,1000,0.2,-0.76,5
augment,0.8902399999999946,0.0008048541421836592,1000,0.2,-0.76,5
average,0.8918799999999939,0.0008590713611822936,1000,0.2,-0.76,5
ensemble,0.8857999999999947,0.0005573783909254761,1000,0.2,-0.76,5
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.5,-0.76,5
default,0.8525199999999966,0.0015484338046062181,1000,0.5,-0.76,5
augment,0.8767599999999961,0.0006231297542973647,1000,0.5,-0.76,5
average,0.8327599999999971,0.001954124100716477,1000,0.5,-0.76,5
ensemble,0.8723999999999972,0.000829776191830375,1000,0.5,-0.76,5
plurality,0.8799999999999959,1.2996583750995055e-16,1000,1.0,-0.76,5
default,0.8298399999999971,0.002217225854641448,1000,1.0,-0.76,5
augment,0.8772799999999961,0.00047246674467609596,1000,1.0,-0.76,5
