time,P1,P2,P3,P4,P5,P6,P7,P8
520.0,0.5659391864380441,0.1912429008583145,7.994245289064332,0.08632719777069443,5.50072323245796,4.746589757128746,2.1643524611679292,5.286802829437
530.0,0.564409545932888,0.18747911479840865,7.9583056379027175,0.08620858933210891,5.451139319795974,4.5263719003692415,2.106375629282446,5.326612557229446
540.0,0.563103011168795,0.18407606693098946,7.909517088502945,0.08645253469193935,5.388513349237933,4.302103430936848,2.052546492390386,5.363908343105231
550.0,0.5619870370933406,0.180999274380096,7.844455963671042,0.08710893531286237,5.310511196304524,4.076789445412166,2.0026539355631825,5.398773478610158
560.0,0.561033842489255,0.17821758901615908,7.758891576567267,0.08826112181543264,5.214640097774193,3.853229703185493,1.95648270353121,5.431300938539555
570.0,0.56021970695468,0.17570288830648234,7.647828629455663,0.09003944903359506,5.098432835739531,3.6339154959945708,1.9138166172204207,5.461590942009875
580.0,0.5595243655295052,0.17342979822167287,7.505727575347248,0.09264268634344262,4.959717194694995,3.4209640597234388,1.87444123729587,5.489748771058709
590.0,0.5589305232481745,0.17137548524070764,7.3269833877528,0.09637143429601021,4.796957451842861,3.2160900205187395,1.83814621425895,5.515882772609292
600.0,0.5584234271856736,0.16951949164222135,7.106698019560492,0.10168213747928595,4.609618442476954,3.0206053510349826,1.8047269203218403,5.540102714490769
610.0,0.5579905221403378,0.16784367639514736,6.841685587542283,0.1092732920684412,4.398477728929651,2.8354426754431064,1.7739858952715322,5.5625183134323155
620.0,0.5576211832256076,0.16633234115719048,6.531498646541835,0.12022295948960411,4.165793795193922,2.661192601933874,1.7457337861463726,5.5832380665372
630.0,0.5573065849404077,0.1649727997247615,6.179151693865943,0.13620399625265917,3.915262259621539,2.4981497628362686,1.7197901016370083,5.6023682488414535
640.0,0.5570398857287081,0.1637570636081096,5.7912276267421445,0.15980734173567662,3.6517422715007934,2.34636149932779,1.6959836612051407,5.62001211992335
